transaction_id,date,category,vendor,amount,payment_method,budget_allocated
TXN-0379,2025-11-25,Dining Out,Thai Express,14.71,Credit Card,120
TXN-0380,2025-11-26,Transportation,Lyft,9.97,Debit Card,90
TXN-0381,2025-11-26,Transportation,Lyft,7.27,Apple Pay,90
TXN-0382,2025-11-27,Dining Out,Chick-fil-A,20.22,Debit Card,120
TXN-0383,2025-11-27,Dining Out,Starbucks,3.77,Venmo,120
TXN-0384,2025-11-27,Groceries,Safeway,20.57,Debit Card,280
TXN-0385,2025-11-28,Dining Out,Thai Express,22.0,Cash,120
TXN-0386,2025-11-28,Rent,Campus Housing Office,850.0,Venmo,850
TXN-0387,2025-11-29,Dining Out,Subway,13.98,Credit Card,120
TXN-0388,2025-11-29,Transportation,Lyft,12.44,Cash,90
TXN-0389,2025-11-29,Transportation,Metro Card,8.86,Debit Card,90
TXN-0390,2025-11-30,Entertainment,Concert Tickets,11.89,Venmo,80
TXN-0391,2025-11-30,Dining Out,Subway,9.62,Debit Card,120
TXN-0392,2025-11-30,Dining Out,Subway,16.55,Credit Card,120
TXN-0393,2025-11-30,Groceries,Safeway,16.35,Debit Card,280
TXN-0394,2025-11-30,Dining Out,Thai Express,10.74,Cash,120
TXN-0395,2025-12-01,Health,Campus Health Center,15.6,Debit Card,60
TXN-0396,2025-12-01,Groceries,Costco,24.64,Cash,280
TXN-0397,2025-12-01,Clothing,H&M,29.02,Cash,50
TXN-0398,2025-12-02,Clothing,Nike,22.12,Debit Card,50
TXN-0399,2025-12-02,Groceries,Aldi,6.21,Venmo,280
TXN-0400,2025-12-02,Groceries,Safeway,17.55,Venmo,280
TXN-0401,2025-12-04,Entertainment,Netflix,16.19,Venmo,80
TXN-0402,2025-12-04,Transportation,Lyft,12.46,Venmo,90
TXN-0403,2025-12-04,Dining Out,Thai Express,13.85,Credit Card,120
TXN-0404,2025-12-04,Transportation,Lyft,9.25,Cash,90
TXN-0405,2025-12-04,Health,CVS Pharmacy,19.66,Debit Card,60
TXN-0406,2025-12-05,Transportation,Metro Card,10.67,Debit Card,90
TXN-0407,2025-12-05,Transportation,Lyft,8.57,Credit Card,90
TXN-0408,2025-12-07,Entertainment,Bowling Alley,15.23,Debit Card,80
TXN-0409,2025-12-08,Groceries,Safeway,22.33,Cash,280
TXN-0410,2025-12-08,Entertainment,AMC Theaters,15.65,Debit Card,80
TXN-0411,2025-12-08,Health,GNC,24.82,Venmo,60
TXN-0412,2025-12-08,Groceries,Safeway,3.0,Venmo,280
TXN-0413,2025-12-08,Groceries,Safeway,13.63,Apple Pay,280
TXN-0414,2025-12-08,Entertainment,Bowling Alley,12.31,Credit Card,80
TXN-0415,2025-12-09,Groceries,Aldi,20.18,Credit Card,280
TXN-0416,2025-12-09,Groceries,Walmart,18.99,Debit Card,280
TXN-0417,2025-12-10,Transportation,Gas Station,3.0,Credit Card,90
TXN-0418,2025-12-10,Transportation,Lyft,8.24,Credit Card,90
TXN-0419,2025-12-10,Transportation,Uber,4.52,Credit Card,90
TXN-0420,2025-12-10,Textbooks,Amazon,26.13,Debit Card,60
TXN-0421,2025-12-10,Transportation,Lyft,6.17,Debit Card,90
TXN-0422,2025-12-12,Subscriptions,ChatGPT Plus,15.0,Credit Card,45
TXN-0423,2025-12-12,Groceries,Safeway,10.54,Debit Card,280
TXN-0424,2025-12-12,Entertainment,Spotify,13.47,Credit Card,80
TXN-0425,2025-12-12,Transportation,Uber,7.32,Credit Card,90
TXN-0426,2025-12-13,Dining Out,Pizza Hut,9.23,Cash,120
TXN-0427,2025-12-13,Groceries,Trader Joe's,20.3,Debit Card,280
TXN-0428,2025-12-13,Dining Out,Campus Cafe,8.09,Debit Card,120
TXN-0429,2025-12-14,Transportation,Parking Meter,11.87,Credit Card,90
TXN-0430,2025-12-15,Groceries,Walmart,31.4,Cash,280
TXN-0431,2025-12-15,Groceries,Trader Joe's,11.8,Credit Card,280
TXN-0432,2025-12-16,Dining Out,Chipotle,16.79,Cash,120
TXN-0433,2025-12-17,Groceries,Aldi,28.87,Debit Card,280
TXN-0434,2025-12-18,Rent,Campus Housing Office,850.0,Apple Pay,850
TXN-0435,2025-12-18,Groceries,Safeway,11.46,Venmo,280
TXN-0436,2025-12-18,Groceries,Walmart,18.64,Cash,280
TXN-0437,2025-12-19,Groceries,Trader Joe's,15.76,Debit Card,280
TXN-0438,2025-12-19,Dining Out,Thai Express,14.41,Debit Card,120
TXN-0439,2025-12-20,Health,Walgreens,3.74,Venmo,60
TXN-0440,2025-12-20,Utilities,Electric Co.,101.45,Debit Card,100
TXN-0441,2025-12-21,Dining Out,Thai Express,17.27,Credit Card,120
TXN-0442,2025-12-21,Transportation,Uber,4.8,Debit Card,90
TXN-0443,2025-12-21,Health,Campus Health Center,19.03,Debit Card,60
TXN-0444,2025-12-21,Dining Out,Panera,11.6,Cash,120
TXN-0445,2025-12-22,Transportation,Lyft,14.64,Debit Card,90
TXN-0446,2025-12-22,Transportation,Parking Meter,7.67,Cash,90
TXN-0447,2025-12-22,Entertainment,Concert Tickets,20.59,Debit Card,80
TXN-0448,2025-12-23,Groceries,Walmart,19.05,Debit Card,280
TXN-0449,2025-12-23,Dining Out,Campus Cafe,15.97,Credit Card,120
TXN-0450,2025-12-24,Textbooks,eBay,3.0,Venmo,60
TXN-0451,2025-12-25,Subscriptions,ChatGPT Plus,15.0,Debit Card,45
TXN-0452,2025-12-25,Groceries,Costco,34.04,Debit Card,280
TXN-0453,2025-12-26,Groceries,Walmart,9.68,Venmo,280
TXN-0454,2025-12-26,Groceries,Trader Joe's,20.55,Debit Card,280
TXN-0455,2025-12-27,Entertainment,Concert Tickets,18.58,Credit Card,80
TXN-0456,2025-12-27,Entertainment,Bowling Alley,8.93,Debit Card,80
TXN-0457,2025-12-27,Transportation,Parking Meter,11.09,Cash,90
TXN-0458,2025-12-29,Dining Out,Chick-fil-A,13.9,Debit Card,120
TXN-0459,2025-12-30,Transportation,Parking Meter,5.7,Cash,90
TXN-0460,2025-12-30,Dining Out,Starbucks,19.96,Credit Card,120
TXN-0461,2025-12-30,Health,Walgreens,10.73,Debit Card,60
TXN-0462,2025-12-31,Utilities,Water Utility,89.79,Debit Card,100
TXN-0463,2025-12-31,Groceries,Aldi,20.43,Credit Card,280
